audio_id,audio,gender,transcription
train_hindifullfemale_00001_16000,"{'path': 'D:\lalwani\tts-finetuning\data-finetuning\extracted_data\mono_combined\resampled\train_hindifullfemale_00001_16000.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 16000}",female," prasidda kabIra adhyetA, puruShottama agravAla kA yaha shodha Alekha, usa rAmAnaMda kI khoja karatA hai "
train_hindifullfemale_00002_16000,"{'path': 'D:\lalwani\tts-finetuning\data-finetuning\extracted_data\mono_combined\resampled\train_hindifullfemale_00002_16000.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 16000}",female," kintu Adhunika pAMDitya, na sirfa eka brAhmaNa rAmAnaMda ke, eka julAhe kabIra kA guru hone se, balki donoM ke samakAlIna hone se bhI, inakAra karatA hai "
train_hindifullfemale_00003_16000,"{'path': 'D:\lalwani\tts-finetuning\data-finetuning\extracted_data\mono_combined\resampled\train_hindifullfemale_00003_16000.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 16000}",female," usa para, ina chAra kaviyoM kA gaharA asara hai "
train_hindifullfemale_00004_16000,"{'path': 'D:\lalwani\tts-finetuning\data-finetuning\extracted_data\mono_combined\resampled\train_hindifullfemale_00004_16000.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 16000}",female, ise kaI bAra maMchita bhI kiyA gayA hai 
train_hindifullfemale_00005_16000,"{'path': 'D:\lalwani\tts-finetuning\data-finetuning\extracted_data\mono_combined\resampled\train_hindifullfemale_00005_16000.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 16000}",female," yahA.N prastuta hai, hindI kavi kathAkAra, tejI grovara ke aMgrezI ke mArfata kie gae anuvAda ke, kuCha aMsha "
train_hindifullfemale_00006_16000,"{'path': 'D:\lalwani\tts-finetuning\data-finetuning\extracted_data\mono_combined\resampled\train_hindifullfemale_00006_16000.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 16000}",female," mUla se, aMgrezI meM lAne kA kAma, mInA kaMdasAmI ne kiyA hai, aura aMgrezI se hindI anuvAda, girirAja kirADU ne "
train_hindifullfemale_00007_16000,"{'path': 'D:\lalwani\tts-finetuning\data-finetuning\extracted_data\mono_combined\resampled\train_hindifullfemale_00007_16000.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 16000}",female," dUsarI tarafa, sAkShAtkAra meM ve suMdara ke virUddha, apanI raNanIti ke bAre meM bAta karate haiM "
train_hindifullfemale_00008_16000,"{'path': 'D:\lalwani\tts-finetuning\data-finetuning\extracted_data\mono_combined\resampled\train_hindifullfemale_00008_16000.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 16000}",female," ustAda bismillAha khAna, bhAratIya saMgIta hI nahIM, samUche kalA saMsAra meM, eka vilakShaNa upasthiti rahe "
train_hindifullfemale_00009_16000,"{'path': 'D:\lalwani\tts-finetuning\data-finetuning\extracted_data\mono_combined\resampled\train_hindifullfemale_00009_16000.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 16000}",female," apane vyaktitva aura vAda, donoM se, ve shAstrIya saMgIta meM eka nae TAIpa the "
train_hindifullfemale_00010_16000,"{'path': 'D:\lalwani\tts-finetuning\data-finetuning\extracted_data\mono_combined\resampled\train_hindifullfemale_00010_16000.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 16000}",female," una para do hindI kaviyoM kA gadya, isa fIchara meM shAmila hai "
train_hindifullfemale_00011_16000,"{'path': 'D:\lalwani\tts-finetuning\data-finetuning\extracted_data\mono_combined\resampled\train_hindifullfemale_00011_16000.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 16000}",female," yatIndra mishra kA sura kI bArAdarI, isa nAma se, peMgvina yAtrA se shIghra prakAshya pustaka se liyA gayA hai, jo unakI kalA, sthAnIya paramparA, unake vyaktitva ko, eka sAtha pa.DhatI haiM "
train_hindifullfemale_00012_16000,"{'path': 'D:\lalwani\tts-finetuning\data-finetuning\extracted_data\mono_combined\resampled\train_hindifullfemale_00012_16000.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 16000}",female," ustAda ko TribyUTa kI taraha likhA gayA vyomesha shukla kA gadya, unakI kalA ko, sAMskRRitika rAjanIti ke, pratirodha ke, saMketoM kI taraha dekhatA hai "
train_hindifullfemale_00013_16000,"{'path': 'D:\lalwani\tts-finetuning\data-finetuning\extracted_data\mono_combined\resampled\train_hindifullfemale_00013_16000.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 16000}",female," isa aMka se hama, eka nayA khaMDa, una kalA rUpoM para AraMbha kara rahe haiM, jinheM loka priya yA paॉpulara kahA jAtA hai "
train_hindifullfemale_00014_16000,"{'path': 'D:\lalwani\tts-finetuning\data-finetuning\extracted_data\mono_combined\resampled\train_hindifullfemale_00014_16000.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 16000}",female," basa itanA patA hai ki usa zamAne meM, eshiyA yUropa afrIkA, aura shAyada amerikA mahAdvIpa bhI, Apasa meM ju.De hue the "
train_hindifullfemale_00015_16000,"{'path': 'D:\lalwani\tts-finetuning\data-finetuning\extracted_data\mono_combined\resampled\train_hindifullfemale_00015_16000.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 16000}",female," yUropa kA bAyA.N hissA afrIkA ke dAhine meM, aura AsTreliyA kA UparI pashchimI kinArA, Aja ke tamilanADu ke bagala meM thA "
