file_path2,englishText,original_file_path
train_hindifullfemale_00001_1600.wav," prasidda kabIra adhyetA, puruShottama agravAla kA yaha shodha Alekha, usa rAmAnaMda kI khoja karatA hai ",train_hindifullfemale_00001
train_hindifullfemale_00002_1600.wav," kintu Adhunika pAMDitya, na sirfa eka brAhmaNa rAmAnaMda ke, eka julAhe kabIra kA guru hone se, balki donoM ke samakAlIna hone se bhI, inakAra karatA hai ",train_hindifullfemale_00002
train_hindifullfemale_00003_1600.wav," usa para, ina chAra kaviyoM kA gaharA asara hai ",train_hindifullfemale_00003
train_hindifullfemale_00004_1600.wav, ise kaI bAra maMchita bhI kiyA gayA hai ,train_hindifullfemale_00004
train_hindifullfemale_00005_1600.wav," yahA.N prastuta hai, hindI kavi kathAkAra, tejI grovara ke aMgrezI ke mArfata kie gae anuvAda ke, kuCha aMsha ",train_hindifullfemale_00005
train_hindifullfemale_00006_1600.wav," mUla se, aMgrezI meM lAne kA kAma, mInA kaMdasAmI ne kiyA hai, aura aMgrezI se hindI anuvAda, girirAja kirADU ne ",train_hindifullfemale_00006
train_hindifullfemale_00007_1600.wav," dUsarI tarafa, sAkShAtkAra meM ve suMdara ke virUddha, apanI raNanIti ke bAre meM bAta karate haiM ",train_hindifullfemale_00007
train_hindifullfemale_00008_1600.wav," ustAda bismillAha khAna, bhAratIya saMgIta hI nahIM, samUche kalA saMsAra meM, eka vilakShaNa upasthiti rahe ",train_hindifullfemale_00008
train_hindifullfemale_00009_1600.wav," apane vyaktitva aura vAda, donoM se, ve shAstrIya saMgIta meM eka nae TAIpa the ",train_hindifullfemale_00009
train_hindifullfemale_00010_1600.wav," una para do hindI kaviyoM kA gadya, isa fIchara meM shAmila hai ",train_hindifullfemale_00010
train_hindifullfemale_00011_1600.wav," yatIndra mishra kA sura kI bArAdarI, isa nAma se, peMgvina yAtrA se shIghra prakAshya pustaka se liyA gayA hai, jo unakI kalA, sthAnIya paramparA, unake vyaktitva ko, eka sAtha pa.DhatI haiM ",train_hindifullfemale_00011
train_hindifullfemale_00012_1600.wav," ustAda ko TribyUTa kI taraha likhA gayA vyomesha shukla kA gadya, unakI kalA ko, sAMskRRitika rAjanIti ke, pratirodha ke, saMketoM kI taraha dekhatA hai ",train_hindifullfemale_00012
